Price,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_200,Volatility_30,RSI_14,BB_MID,BB_UPPER,BB_LOWER,ATR_14
Ticker,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,
1/2/2024,185.5788149,186.8579934,182.346189,184.0814972,82488700.0,,,,,,,,,
1/3/2024,182.6734238,184.3194913,181.8900476,182.7031708,58414500.0,,,,,,,,,
1/4/2024,180.6208032,181.5529141,179.3614761,180.3828278,71983600.0,,,,,,,,,
1/5/2024,180.4621634,181.2256882,178.6574354,179.6589508,62379700.0,,,,,,,,,
1/8/2024,180.5613122,184.0418547,179.976269,184.002182,59144500.0,,,,,,,,,
1/9/2024,182.3759344,183.595604,181.1959224,183.5856934,42841800.0,,,,,,,,,
1/10/2024,182.8023279,184.8351053,182.37593,184.6268768,46792900.0,,,,,,,,,
1/11/2024,184.9739275,185.4796556,182.0784437,184.0319061,49128400.0,,,,,,,,,
1/12/2024,184.4979702,185.1722692,183.6352789,184.3591461,40477800.0,,,,,,,,,
1/16/2024,180.6307188,182.7130796,179.4110341,182.0883789,65603000.0,182.95206299,,,,,,,,
1/17/2024,179.748211,181.3942635,178.7863531,181.1463623,47317400.0,182.6585495,,,,,,,,
1/18/2024,184.5277175,187.5521149,184.2699058,187.046402,78005800.0,183.09287262,,,,,,,,
1/19/2024,187.7405383,190.338538,187.2348253,189.9518127,68903000.0,184.04977111,,,,,,,,
1/22/2024,190.6855745,193.6901354,190.6459019,192.2622223,60133900.0,185.31009826,,,,,,,,3.508863264285712
1/23/2024,193.3827518,194.106619,192.2027398,193.5413971,42355600.0,186.26401977,,,,54.074218965143054,,,,3.3225828928571417
1/24/2024,193.7793857,194.7313329,192.7084508,192.8671112,53631300.0,187.19216154999998,,,,52.546843525797016,,,,3.2935427785714273
1/25/2024,193.5810591,194.622247,191.4887727,192.5398712,54822100.0,187.98346099,,,,51.782401205865916,,,,3.2786698928571405
1/26/2024,192.6390401,193.1249167,190.3285994,190.8045654,44594000.0,188.66072692,,,,47.81035430018419,,,,3.294960214285711
1/29/2024,190.39804,190.5864473,187.9884475,190.1203918,47145600.0,189.23685149,,,,46.30232439595689,,,,3.1830469285714265
1/30/2024,189.3370123,190.189793,185.8961427,186.4613495,55859400.0,189.67414854999998,,,,39.183933628939904,186.31310577,195.30996937778878,177.3162421622112,3.289289121428569
1/31/2024,185.469734,185.529243,182.8023301,182.8518982,55467800.0,189.84470213999998,,,,33.682871172162265,186.25162582000002,195.32914194837565,177.17410969162438,3.3749922714285696
2/1/2024,182.4453741,185.3805158,182.2768031,185.291275,64885400.0,189.66918944,,,,39.83088137312548,186.38103103,195.3182624044291,177.4437996555709,3.3537423285714283
2/2/2024,178.3500165,185.7573046,177.745137,184.2897339,102551700.0,189.10298156000002,,,,38.262482303068154,186.57637633500002,195.12387683729193,178.0288758327081,3.8162549928571434
2/5/2024,186.5704256,187.6611968,184.279821,186.1043701,69668800.0,188.48719634,,,,42.667456290013554,186.8986473,194.81038043011424,178.98691416988575,3.704345264285714
2/6/2024,185.2912819,187.7207108,185.2020411,187.7108002,43490800.0,187.90413665,,,,46.318962404018485,187.08407820999997,194.88301354869446,179.28514287130548,3.648391257142858
2/7/2024,189.0395397,189.4461013,187.0265831,187.81987,53439000.0,187.39941253,,,,46.56779158661408,187.29578704,194.9228495867448,179.66872449325518,3.363660228571429
2/8/2024,187.8000382,187.9487729,185.777171,186.7390289,40962000.0,186.8193283,,,,44.37276916352684,187.401394645,194.9307230293829,179.87206626061712,3.2836220785714283
2/9/2024,187.3049082,188.6353654,186.6595488,187.5034943,45155200.0,186.48922119,,,,46.30074782383134,187.574974055,194.9354032211567,180.21454488884334,3.1577287857142857
2/12/2024,187.0765773,187.3247948,185.4581942,185.8156281,41781900.0,186.05874482,,,,42.77561181773652,187.64779815499998,194.90231819694182,180.39327811305813,3.167830278571427
2/13/2024,184.4454634,184.8823286,182.2015675,183.7206573,56529500.0,185.78467559999999,,,,38.82450772995264,187.729412075,194.75366129336882,180.70516285663118,3.2814858857142832
2/14/2024,183.9986769,184.2071711,181.1392064,182.8370056,54630500.0,185.78318634,,,0.011825074158706546,37.26112251092766,187.81394424,194.53894158574693,181.0889468942531,3.2768066285714275
2/15/2024,182.2413002,183.1746005,180.0569892,182.5490875,65434500.0,185.50896759000003,,,0.01174773427381182,36.741969932929486,187.589078515,194.71116946600566,180.46698756399437,3.2997561999999983
2/16/2024,182.1122335,183.5320457,180.3747108,181.0101471,49752500.0,185.18100891,,,0.011613180129558684,34.01403067162441,187.141995235,194.74590017699254,179.53809029300746,3.3241288428571414
2/20/2024,180.4938435,181.1292798,178.7166128,180.2654877,53665600.0,184.59712067,,,0.01161445112330138,32.74706401272266,186.542158505,194.33575314717675,178.74856386282326,3.1897728928571416
2/21/2024,180.6427699,181.5859933,179.3718975,181.0200653,41371400.0,183.92804718000002,,,0.010729961457398053,35.3739755270841,185.916091915,193.3454864900912,178.48669733990883,3.086564064285714
2/22/2024,182.1718119,183.6412706,181.1590952,183.0554657,52292200.0,183.45160675000002,,,0.010934393855560765,41.95957630084064,185.42550964,192.18815684348772,178.66286243651228,3.05209925
2/23/2024,183.6908953,183.7206802,180.9307176,181.2186584,45119700.0,182.8995697,,,0.011027151562713002,38.17858077224925,184.85944899999998,190.97945245167483,178.73944554832514,2.679084607142857
2/26/2024,180.9406487,181.4569302,179.3619737,179.8683472,40867400.0,182.13605499,,,0.011089181047898451,35.63630481013088,184.31263809,190.14350415229381,178.4817720277062,2.5871975142857133
2/27/2024,179.8087756,182.6086613,178.2797472,181.3278656,54318900.0,181.68727873999998,,,0.01119788219499968,40.26632152514541,183.87301178,189.16070719353678,178.58531636646325,2.716500685714284
2/28/2024,181.2087048,181.8143561,178.8456844,180.1264801,48953900.0,181.32786102,,,0.011037699488059721,37.85256010252049,183.55626831,188.9490346579267,178.16350196207333,2.7557259357142834
2/29/2024,179.9775546,181.2682887,178.2499553,179.4612579,136682600.0,180.99028625,,,0.011018465123641694,36.54619786548792,183.38673629500002,189.07767670604426,177.69579588395578,2.816206757142855
3/1/2024,178.269812,179.2428204,176.1152859,178.3790283,73563100.0,180.57328033000002,,,0.00914840727913444,34.462419693179385,183.04112396,189.0743342790682,177.00791364093178,2.914074999999997
3/4/2024,174.894064,175.6387166,172.5508899,173.8515625,81510100.0,179.85742187,,,0.009556067671377282,27.419028630584705,182.51921539,189.77890175437358,175.25952902562642,3.184277735714283
3/5/2024,169.5424643,170.8133367,168.4105932,168.9070282,95132400.0,178.72157592000002,,,0.010202156170768903,22.105418609739246,181.65934829500003,190.92717999960038,172.39151659039968,3.314771214285713
