Price,Strategy_Return
2024-10-16,
2024-10-17,1.001596408293168
2024-10-18,1.01389252846755
2024-10-21,1.0202778968012982
2024-10-22,1.0176030847792965
2024-10-23,0.9955993445367519
2024-10-24,0.9947796121497927
2024-10-25,0.9984037902276626
2024-10-28,1.0069894204083922
2024-10-29,1.0081543345738389
2024-10-30,0.9927518423650912
2024-10-31,0.9746744054981537
2024-11-01,0.9617311104502835
2024-11-04,0.9578479966250664
2024-11-05,0.9640607411272493
2024-11-06,0.9609113117452304
2024-11-07,0.9814479462064969
2024-11-08,0.9802818413495185
2024-11-11,0.9684904976636911
2024-11-12,0.9684904976636911
2024-11-13,0.9646464720698709
2024-11-14,0.9513628679843763
2024-11-15,0.9647858657000506
2024-11-18,0.9518362694633443
2024-11-19,0.9507509427235735
2024-11-20,0.9477522543067555
2024-11-21,0.9497388089986857
2024-11-22,0.9441281285944271
2024-11-25,0.9318064826346024
2024-11-26,0.9405695444543632
2024-11-27,0.9400493952839283
2024-11-29,0.9496527589540908
2024-12-02,0.9586959009110579
2024-12-03,0.9709402050506012
2024-12-04,0.9723806790825146
2024-12-05,0.9725007746363513
2024-12-06,0.9717004838899269
2024-12-09,0.9873459463009542
2024-12-10,0.9914274218394706
2024-12-11,0.9863055869228619
2024-12-12,0.9921877621175794
2024-12-13,0.9928678958713839
2024-12-16,1.004511966390633
2024-12-17,1.0142753760829484
2024-12-18,0.9925478038270791
2024-12-19,0.9995102274294217
2024-12-20,1.0183168401159266
2024-12-23,1.0214379792874266
2024-12-24,1.0331620117805296
2024-12-26,1.0364430740966157
2024-12-27,1.022718346259965
2024-12-30,1.0091536026051227
