Price,Close,High,Low,Open,Volume
Ticker,,,,,
Date,,,,,
1/2/2024,184.0814972,186.8579934,182.346189,185.5788149,82488700
1/3/2024,182.7031708,184.3194913,181.8900476,182.6734238,58414500
1/4/2024,180.3828278,181.5529141,179.3614761,180.6208032,71983600
1/5/2024,179.6589508,181.2256882,178.6574354,180.4621634,62379700
1/8/2024,184.002182,184.0418547,179.976269,180.5613122,59144500
1/9/2024,183.5856934,183.595604,181.1959224,182.3759344,42841800
1/10/2024,184.6268768,184.8351053,182.37593,182.8023279,46792900
1/11/2024,184.0319061,185.4796556,182.0784437,184.9739275,49128400
1/12/2024,184.3591461,185.1722692,183.6352789,184.4979702,40477800
1/16/2024,182.0883789,182.7130796,179.4110341,180.6307188,65603000
1/17/2024,181.1463623,181.3942635,178.7863531,179.748211,47317400
1/18/2024,187.046402,187.5521149,184.2699058,184.5277175,78005800
1/19/2024,189.9518127,190.338538,187.2348253,187.7405383,68903000
1/22/2024,192.2622223,193.6901354,190.6459019,190.6855745,60133900
1/23/2024,193.5413971,194.106619,192.2027398,193.3827518,42355600
1/24/2024,192.8671112,194.7313329,192.7084508,193.7793857,53631300
1/25/2024,192.5398712,194.622247,191.4887727,193.5810591,54822100
1/26/2024,190.8045654,193.1249167,190.3285994,192.6390401,44594000
1/29/2024,190.1203918,190.5864473,187.9884475,190.39804,47145600
1/30/2024,186.4613495,190.189793,185.8961427,189.3370123,55859400
1/31/2024,182.8518982,185.529243,182.8023301,185.469734,55467800
2/1/2024,185.291275,185.3805158,182.2768031,182.4453741,64885400
2/2/2024,184.2897339,185.7573046,177.745137,178.3500165,102551700
2/5/2024,186.1043701,187.6611968,184.279821,186.5704256,69668800
2/6/2024,187.7108002,187.7207108,185.2020411,185.2912819,43490800
2/7/2024,187.81987,189.4461013,187.0265831,189.0395397,53439000
2/8/2024,186.7390289,187.9487729,185.777171,187.8000382,40962000
2/9/2024,187.5034943,188.6353654,186.6595488,187.3049082,45155200
2/12/2024,185.8156281,187.3247948,185.4581942,187.0765773,41781900
2/13/2024,183.7206573,184.8823286,182.2015675,184.4454634,56529500
2/14/2024,182.8370056,184.2071711,181.1392064,183.9986769,54630500
2/15/2024,182.5490875,183.1746005,180.0569892,182.2413002,65434500
2/16/2024,181.0101471,183.5320457,180.3747108,182.1122335,49752500
2/20/2024,180.2654877,181.1292798,178.7166128,180.4938435,53665600
2/21/2024,181.0200653,181.5859933,179.3718975,180.6427699,41371400
2/22/2024,183.0554657,183.6412706,181.1590952,182.1718119,52292200
2/23/2024,181.2186584,183.7206802,180.9307176,183.6908953,45119700
2/26/2024,179.8683472,181.4569302,179.3619737,180.9406487,40867400
2/27/2024,181.3278656,182.6086613,178.2797472,179.8087756,54318900
2/28/2024,180.1264801,181.8143561,178.8456844,181.2087048,48953900
2/29/2024,179.4612579,181.2682887,178.2499553,179.9775546,136682600
3/1/2024,178.3790283,179.2428204,176.1152859,178.269812,73563100
3/4/2024,173.8515625,175.6387166,172.5508899,174.894064,81510100
3/5/2024,168.9070282,170.8133367,168.4105932,169.5424643,95132400
3/6/2024,167.9141693,170.019064,167.4773041,169.8403395,68587700
3/7/2024,167.7950439,169.5127049,167.2886857,167.9439684,71765100
3/8/2024,169.5126953,172.4615205,167.7354646,167.7950344,76267000
3/11/2024,171.5182953,173.1366783,170.8232893,171.706943,60139500
3/12/2024,171.9948883,172.7891874,169.7907154,171.9154569,59825400
3/13/2024,169.9098663,171.9551763,169.5424941,171.5381727,52488700
3/14/2024,171.7665253,173.0671827,170.8233017,171.6771706,72913500
3/15/2024,171.3892059,171.3892059,169.0758171,169.9495475,121752700
3/18/2024,172.4813843,176.4429412,172.2828133,174.3181999,75604200
3/19/2024,174.824585,175.3508049,171.7963278,173.0969854,55215200
3/20/2024,177.3960876,177.3960876,173.8416111,174.4671241,53423100
3/21/2024,170.1481323,176.2245072,169.6219124,175.787642,106181300
3/22/2024,171.051651,171.8161652,168.8474783,170.5353543,71160100
3/25/2024,169.6318512,170.7140759,168.2418241,169.3538488,54288300
3/26/2024,168.4999847,170.1977841,168.3709068,168.7879104,57388400
3/27/2024,172.0743103,172.3622511,168.8971291,169.1949931,60273300
3/28/2024,170.2573547,171.0020073,169.2942696,170.5254339,65672700
4/1/2024,168.8177032,170.029006,168.2716217,169.9694362,46240500
4/2/2024,167.6361847,168.1326197,167.0305333,167.874479,49329500
4/3/2024,168.4403992,169.4630541,167.3780361,167.5865303,47691700
4/4/2024,167.6163177,170.6942056,167.6163177,169.0758227,53704400
4/5/2024,168.3708954,169.1751177,167.7453824,168.3808186,42104800
4/8/2024,167.2489624,167.993615,167.0404682,167.8248289,37425500
4/9/2024,168.4602814,168.8673618,167.1497006,167.4971961,42373800
4/10/2024,166.5837555,167.884413,165.9185343,167.5964873,49709300
4/11/2024,173.7919617,174.2089804,166.9610262,167.1397356,91070300
4/12/2024,175.291214,177.0883064,172.9679017,173.017533,101670900
4/15/2024,171.4587097,175.3706196,171.270062,174.1096706,73531800
4/16/2024,168.172348,172.5211089,167.0702616,170.5254454,73711200
4/17/2024,166.8021698,169.4332694,166.8021698,168.4006912,50901200
4/18/2024,165.8490143,167.4376125,165.3625176,166.8319611,43122900
4/19/2024,163.8235626,165.2135747,162.910124,165.0249421,68149400
4/22/2024,164.6575623,166.0674359,163.5951992,164.3398517,48116400
4/23/2024,165.710022,165.8589616,163.7441433,164.1710854,49537800
4/24/2024,167.8149109,168.0929133,165.0249483,165.3525821,48251800
4/25/2024,168.6786957,169.3935633,166.9510963,168.3212618,50558300
4/26/2024,168.0928955,170.1183437,167.9737408,168.6687619,44838400
4/29/2024,172.2629395,174.7748993,171.8657975,172.1338615,68169400
4/30/2024,169.1155396,173.7423171,168.7878907,172.0941494,65934800
5/1/2024,168.0928955,171.4785859,167.9042478,168.3708979,50383100
5/2/2024,171.7963104,172.1835292,169.671569,171.2800137,94214900
5/3/2024,182.0725098,185.6666944,181.3576421,185.3191838,163224100
5/6/2024,180.4144135,182.88665,179.1336027,181.0498496,78569700
5/7/2024,181.099472,183.5816469,180.0271858,182.1419885,77305800
5/8/2024,181.437088,181.764737,180.1562771,181.5463043,45057100
5/9/2024,183.2540283,183.343383,180.8115614,181.2583499,48983000
5/10/2024,181.9913788,184.0195743,181.0767012,183.8306707,50759500
5/13/2024,185.2026978,186.0179628,183.5522943,184.3675593,72044800
5/14/2024,186.3460388,187.2110177,185.2126323,186.425578,52393600
5/15/2024,188.622818,189.5474324,186.2864024,186.823288,70400000
5/16/2024,188.7421112,189.9948341,188.5631595,189.3684726,52845200
5/17/2024,188.7719269,189.706493,188.0859149,188.4140082,41282900
5/20/2024,189.9351654,190.810081,187.9169066,188.2350632,44361300
