Price,Bollinger,Portfolio_Return,Cumulative
2024-10-16,,0.0,1.0
2024-10-17,0.0,0.0,1.0
2024-10-18,0.0,0.0,1.0
2024-10-21,0.0,0.0,1.0
2024-10-22,-0.0,0.0,1.0
2024-10-23,-0.0,0.0,1.0
2024-10-24,-0.0,0.0,1.0
2024-10-25,0.0,0.0,1.0
2024-10-28,0.0,0.0,1.0
2024-10-29,0.0,0.0,1.0
2024-10-30,-0.0,0.0,1.0
2024-10-31,-0.0,0.0,1.0
2024-11-01,-0.0,0.0,1.0
2024-11-04,-0.0,0.0,1.0
2024-11-05,-0.006486148662494751,-0.006486148662494751,0.9935138513375052
2024-11-06,-0.0,0.0,0.9935138513375052
2024-11-07,0.0,0.0,0.9935138513375052
2024-11-08,-0.0,0.0,0.9935138513375052
2024-11-11,-0.0,0.0,0.9935138513375052
2024-11-12,0.0,0.0,0.9935138513375052
2024-11-13,0.0,0.0,0.9935138513375052
2024-11-14,0.0,0.0,0.9935138513375052
2024-11-15,-0.0,0.0,0.9935138513375052
2024-11-18,0.0,0.0,0.9935138513375052
2024-11-19,0.0,0.0,0.9935138513375052
2024-11-20,0.0,0.0,0.9935138513375052
2024-11-21,-0.0,0.0,0.9935138513375052
2024-11-22,0.0,0.0,0.9935138513375052
2024-11-25,0.0,0.0,0.9935138513375052
2024-11-26,0.0,0.0,0.9935138513375052
2024-11-27,-0.0005530151103677605,-0.0005530151103677605,0.9929644231653559
2024-11-29,0.010215807507925723,0.010215807507925723,1.0031083565746317
2024-12-02,0.009522577459709414,0.009522577459709414,1.0126605336005954
2024-12-03,0.01277183320373787,0.01277183320373787,1.0255940650277504
2024-12-04,0.0014835867589171325,0.0014835867589171325,1.0271156228026497
2024-12-05,0.0001235067257301381,0.0001235067257301381,1.0272424784901684
2024-12-06,-0.0,0.0,1.0272424784901684
2024-12-09,0.0,0.0,1.0272424784901684
2024-12-10,0.0,0.0,1.0272424784901684
2024-12-11,-0.0,0.0,1.0272424784901684
2024-12-12,0.0,0.0,1.0272424784901684
2024-12-13,0.0,0.0,1.0272424784901684
2024-12-16,0.0,0.0,1.0272424784901684
2024-12-17,0.0,0.0,1.0272424784901684
2024-12-18,-0.0,0.0,1.0272424784901684
2024-12-19,0.0,0.0,1.0272424784901684
2024-12-20,0.0,0.0,1.0272424784901684
2024-12-23,0.0,0.0,1.0272424784901684
2024-12-24,0.0,0.0,1.0272424784901684
2024-12-26,0.0,0.0,1.0272424784901684
2024-12-27,-0.0,0.0,1.0272424784901684
2024-12-30,-0.0,0.0,1.0272424784901684
