Date,AAPL,MSFT,AMZN,Portfolio_Return,Cumulative
2023-01-03,,,,,
2023-01-04,0.0,-0.0,-0.0,0.0,1.0
2023-01-05,-0.0,-0.0,-0.0,0.0,1.0
2023-01-06,0.0,0.0,0.0,0.0,1.0
2023-01-09,0.0,0.0,0.0,0.0,1.0
2023-01-10,0.0,0.0,0.0,0.0,1.0
2023-01-11,0.0,0.0,0.0,0.0,1.0
2023-01-12,-0.0,0.0,0.0,0.0,1.0
2023-01-13,0.0,0.0,0.0,0.0,1.0
2023-01-17,0.0,0.0,-0.0,0.0,1.0
2023-01-18,-0.0,-0.0,-0.0,0.0,1.0
2023-01-19,0.0,-0.0,-0.0,0.0,1.0
2023-01-20,0.0,0.0,0.0,0.0,1.0
2023-01-23,0.0,0.0,0.0,0.0,1.0
2023-01-24,0.0,-0.0,-0.0,0.0,1.0
2023-01-25,-0.0,-0.0,0.0,0.0,1.0
2023-01-26,0.0,0.0,0.0,0.0,1.0
2023-01-27,0.0,0.0,0.0,0.0,1.0
2023-01-30,-0.0,-0.0,-0.0,0.0,1.0
2023-01-31,0.0,0.0,0.0,0.0,1.0
2023-02-01,0.0,0.0,0.0,0.0,1.0
2023-02-02,0.0,0.0,0.0,0.0,1.0
2023-02-03,0.0,-0.0,-0.0,0.0,1.0
2023-02-06,-0.0,-0.0,-0.0,0.0,1.0
2023-02-07,0.0,0.0,-0.0,0.0,1.0
2023-02-08,-0.0,-0.0,-0.0,0.0,1.0
2023-02-09,-0.0,-0.0,-0.0,0.0,1.0
2023-02-10,0.0,-0.0,-0.0,0.0,1.0
2023-02-13,0.0,0.0,0.0,0.0,1.0
2023-02-14,-0.0,0.0,0.0,0.0,1.0
2023-02-15,0.0,-0.0,0.0,0.0,1.0
2023-02-16,-0.0,-0.0,-0.0,0.0,1.0
2023-02-17,-0.0,-0.0,-0.0,0.0,1.0
2023-02-21,-0.0,-0.0,-0.0,0.0,1.0
2023-02-22,0.0,-0.0,0.0,0.0,1.0
2023-02-23,0.0,0.0,0.0,0.0,1.0
2023-02-24,-0.0,-0.0,-0.0,0.0,1.0
2023-02-27,0.0,0.0,0.0,0.0,1.0
2023-02-28,-0.0,-0.0,0.0,0.0,1.0
2023-03-01,-0.0,-0.0,-0.0,0.0,1.0
2023-03-02,0.0,0.0,-0.0,0.0,1.0
2023-03-03,0.0,0.0,0.0,0.0,1.0
2023-03-06,0.0,0.0,-0.0,0.0,1.0
2023-03-07,-0.0,-0.0,-0.0,0.0,1.0
2023-03-08,0.0,-0.0,0.0,0.0,1.0
2023-03-09,-0.0,-0.0,-0.0,0.0,1.0
2023-03-10,-0.0,-0.0,-0.0,0.0,1.0
2023-03-13,0.0,0.0,0.0,0.0,1.0
2023-03-14,0.0,0.0,0.0,0.0,1.0
2023-03-15,0.0,0.0,0.0,0.0,1.0
2023-03-16,0.01869387756750851,0.04053655556717195,-0.03991688242309577,0.006437850237194898,1.006437850237195
2023-03-17,-0.005453886288047216,0.011694078517561435,0.010895681300578386,0.0057119578433642015,1.012186580809716
2023-03-20,0.01548378929447014,-0.025766748080074953,0.012531560404374087,0.0007495338729230916,1.012945248937751
2023-03-21,0.011944217585575956,0.005693975555812303,-0.029679680207260972,-0.004013829021957571,1.0088794598999107
2023-03-22,-0.009103394945117027,-0.00544230905810994,0.018984232685839597,0.0014795095608708768,1.0103721067065987
2023-03-23,0.006969368317420344,0.019721597873548102,-0.00010133876939955044,0.008863209140522965,1.01932724599809
2023-03-24,0.008305572749127466,0.010480524020598736,0.005875816395847999,0.008220637721858068,1.0277067660074597
2023-03-27,-0.012293405780347766,-0.014934061860576442,-0.0009171134251457769,-0.009381527022023328,1.0180653072114445
2023-03-28,-0.003980224895640538,-0.004160880786555521,-0.00815996577200262,-0.005433690484732893,1.012533455438813
2023-03-29,0.019790719392654754,0.01918403315484185,0.0309543624265336,0.0233097049913434,1.0361353115789573
2023-03-30,0.009889810810722599,0.012619714548345318,0.0174563591022443,0.013321961487104073,1.0499386662952408
2023-03-31,0.015644337085513937,0.01496226876137774,0.012647067799287592,0.01441789121539309,1.0650765677687206
2023-04-03,0.00770177454694676,-0.0037116204204193926,-0.008519675143944028,-0.0015098403391388866,1.0634684722024317
2023-04-04,-0.0032497246646114863,-0.00017384340251291874,0.015037527888523972,0.003871319940466522,1.0675854989049265
2023-04-05,-0.011290178443997934,-0.00988923870650149,-0.027417013542964663,-0.016198810231154697,1.050291884002633
2023-04-06,0.005495758972333675,0.025532859583113243,0.009495540049077267,0.013508052868174728,1.0644792822987554
