,CAGR,Volatility,Sharpe,MaxDD
No Costs,-0.12185634208588725,0.04124301625654238,-3.175535679227622,-0.026329927975329626
With Costs,-0.12833817333014008,0.043640200794324485,-3.170939450981954,-0.027810032844322374
